Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
"Fri, Nov 24, 2023",8:00p,Washington Wizards,,Milwaukee Bucks,,,,,Fiserv Forum,
"Fri, Nov 24, 2023",8:00p,Sacramento Kings,,Minnesota Timberwolves,,,,,Target Center,
"Fri, Nov 24, 2023",10:00p,San Antonio Spurs,,Golden State Warriors,,,,,Chase Center,
"Fri, Nov 24, 2023",10:30p,New Orleans Pelicans,,Los Angeles Clippers,,,,,Crypto.com Arena,
"Sat, Nov 25, 2023",5:00p,Philadelphia 76ers,,Oklahoma City Thunder,,,,,Paycom Center,
"Sat, Nov 25, 2023",6:00p,Miami Heat,,Brooklyn Nets,,,,,Barclays Center,
"Sat, Nov 25, 2023",7:00p,Atlanta Hawks,,Washington Wizards,,,,,Capital One Arena,
"Sat, Nov 25, 2023",7:30p,Los Angeles Lakers,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
"Sat, Nov 25, 2023",9:30p,New Orleans Pelicans,,Utah Jazz,,,,,Delta Center,
"Sat, Nov 25, 2023",10:30p,Dallas Mavericks,,Los Angeles Clippers,,,,,Crypto.com Arena,
"Sun, Nov 26, 2023",3:30p,Portland Trail Blazers,,Milwaukee Bucks,,,,,Fiserv Forum,
"Sun, Nov 26, 2023",6:00p,Atlanta Hawks,,Boston Celtics,,,,,TD Garden,
"Sun, Nov 26, 2023",6:00p,Minnesota Timberwolves,,Memphis Grizzlies,,,,,FedEx Forum,
"Sun, Nov 26, 2023",6:00p,Phoenix Suns,,New York Knicks,,,,,Madison Square Garden (IV),
"Sun, Nov 26, 2023",6:00p,Charlotte Hornets,,Orlando Magic,,,,,Amway Center,
"Sun, Nov 26, 2023",7:30p,Chicago Bulls,,Brooklyn Nets,,,,,Barclays Center,
"Sun, Nov 26, 2023",7:30p,Toronto Raptors,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
"Sun, Nov 26, 2023",8:00p,San Antonio Spurs,,Denver Nuggets,,,,,Ball Arena,
"Mon, Nov 27, 2023",7:00p,Washington Wizards,,Detroit Pistons,,,,,Little Caesars Arena,
"Mon, Nov 27, 2023",7:00p,Portland Trail Blazers,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
"Mon, Nov 27, 2023",7:00p,Los Angeles Lakers,,Philadelphia 76ers,,,,,Wells Fargo Center,
"Mon, Nov 27, 2023",9:00p,New Orleans Pelicans,,Utah Jazz,,,,,Delta Center,
"Mon, Nov 27, 2023",10:30p,Denver Nuggets,,Los Angeles Clippers,,,,,Crypto.com Arena,
"Tue, Nov 28, 2023",7:30p,Chicago Bulls,,Boston Celtics,,,,,TD Garden,
"Tue, Nov 28, 2023",7:30p,Toronto Raptors,,Brooklyn Nets,,,,,Barclays Center,
"Tue, Nov 28, 2023",7:30p,Atlanta Hawks,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
"Tue, Nov 28, 2023",7:30p,Milwaukee Bucks,,Miami Heat,,,,,Kaseya Center,
"Tue, Nov 28, 2023",7:30p,Charlotte Hornets,,New York Knicks,,,,,Madison Square Garden (IV),
"Tue, Nov 28, 2023",8:00p,Oklahoma City Thunder,,Minnesota Timberwolves,,,,,Target Center,
"Tue, Nov 28, 2023",8:30p,Houston Rockets,,Dallas Mavericks,,,,,American Airlines Center,
